432,LAKE CRYSTAL,BLUE EARTH,MN,56055
433,LAKE ELMO,WASHINGTON,MN,55042
434,LAKE GEORGE,HUBBARD,MN,56458
435,LAKE HUBERT,CROW WING,MN,56459
436,LAKE LILLIAN,KANDIYOHI,MN,56253
437,LAKE PARK,BECKER,MN,56554
438,LAKE WILSON,MURRAY,MN,56151
439,LAKEFIELD,JACKSON,MN,56150
440,LAKELAND,WASHINGTON,MN,55043
441,LAKEVILLE,DAKOTA,MN,55044
442,LAMBERTON,REDWOOD,MN,56152
443,LANCASTER,KITTSON,MN,56735
444,LANESBORO,FILLMORE,MN,55949
445,LANSING,MOWER,MN,55950
446,LAPORTE,HUBBARD,MN,56461
447,LASTRUP,MORRISON,MN,56344
448,LE CENTER,LE SUEUR,MN,56057
449,LE ROY,MOWER,MN,55951
450,LE SUEUR,LE SUEUR,MN,56058
451,LENGBY,MAHNOMEN,MN,56651
452,LEONARD,CLEARWATER,MN,56652
453,LEOTA,NOBLES,MN,56153
454,LESTER PRAIRIE,MCLEOD,MN,55354
455,LEWISTON,WINONA,MN,55952
456,LEWISVILLE,WATONWAN,MN,56060
457,LINDSTROM,CHISAGO,MN,55045
458,LISMORE,NOBLES,MN,56155
459,LITCHFIELD,MEEKER,MN,55355
460,LITTLE FALLS,MORRISON,MN,56345
461,LITTLEFORK,KOOCHICHING,MN,56653
462,LOMAN,KOOCHICHING,MN,56654
463,LONG LAKE,HENNEPIN,MN,55356
464,LONG PRAIRIE,TODD,MN,56347
465,LONGVILLE,CASS,MN,56655
466,LONSDALE,RICE,MN,55046
467,LORETTO,HENNEPIN,MN,55357
468,LORETTO,HENNEPIN,MN,55598
469,LOWRY,POPE,MN,56349
470,LUCAN,REDWOOD,MN,56255
471,LUTSEN,COOK,MN,55612
472,LUVERNE,ROCK,MN,56156
473,LYLE,MOWER,MN,55953
474,LYND,LYON,MN,56157
475,MABEL,FILLMORE,MN,55954
476,MADELIA,WATONWAN,MN,56062
477,MADISON,LAC QUI PARLE,MN,56256
478,MADISON LAKE,BLUE EARTH,MN,56063
479,MAGNOLIA,ROCK,MN,56158
480,MAHNOMEN,MAHNOMEN,MN,56557
